"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"163","PARIS-ST-LAZARE","LE HAVRE","08h40","10h58","Non",12,"","16 mai 2024 Ré"
"164","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","10h11","11h44","Non",22,"","16 mai 2024 Ré"
"165","PARIS-ST-LAZARE","LE HAVRE","10h40","12h58","A l'heure",0,"","16 mai 2024 Ré"
"166","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","12h12","13h50","Non",14,"","16 mai 2024 Ré"
"167","PARIS-ST-LAZARE","LE HAVRE","12h39","14h58","Non",0,"Arrêts supplémentaires à Mantes la Jolie, Vernon et Val de 14h58 + 21 min","16 mai 2024 Ré"
"168","PARIS-ST-LAZARE","LE HAVRE","13h40","15h48","Non",12,"","16 mai 2024 Ré"
"169","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","14h12","15h41","A l'heure",0,"","16 mai 2024 Ré"
"170","PARIS-ST-LAZARE","LE HAVRE","14h40","16h58","A l'heure",0,"","16 mai 2024 Ré"
"171","PARIS-ST-LAZARE","LE HAVRE","15h40","17h58","A l'heure",0,"","16 mai 2024 Ré"
"172","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h11","17h47","A l'heure",0,"","16 mai 2024 Ré"
"173","PARIS-ST-LAZARE","LE HAVRE","16h40","18h58","A l'heure",0,"","16 mai 2024 Ré"
"174","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h50","18h31","A l'heure",0,"","16 mai 2024 Ré"
"175","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h12","18h50","A l'heure",0,"","16 mai 2024 Ré"
"176","PARIS-ST-LAZARE","LE HAVRE","17h40","20h00","A l'heure",0,"","16 mai 2024 Ré"
"177","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h49","19h25","A l'heure",0,"","16 mai 2024 Ré"
"178","PARIS-ST-LAZARE","VERNON-GIVERNY","17h52","18h58","A l'heure",0,"","16 mai 2024 Ré"
"179","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h11","19h54","Non",0,"Application d’une procédure de dépannage en gare de 19h54 + 13 min","16 mai 2024 Ré"
"180","PARIS-ST-LAZARE","VERNON-GIVERNY","18h21","19h29","A l'heure",0,"","16 mai 2024 Ré"
"181","PARIS-ST-LAZARE","LE HAVRE","18h40","21h00","A l'heure",0,"","16 mai 2024 Ré"
